ケースID,大分類,テスト観点,テスト技法,前提条件,テスト手順,期待結果,実行結果,判定
TC-H-045,数式エンジン,負のパーセント入力,境界値,'-,-0.25,-0.25,-0.25,PASS
TC-H-046,表示形式,負の通貨表示,境界値,'-,"'-1234 に ¥#,##0 を適用","'-¥1,234","'-¥1,234",PASS
TC-H-047,表示形式,小数の丸め表示(四捨五入),境界値,'-,2.345 に 0.00 を適用,2.35,2.35,PASS
TC-H-048,表示形式,極大値のGeneral表示(指数表記の書式),境界値,'-,1e21 を General 表示,1E+21,1E+21,PASS
TC-H-049,表示形式,エラー値を含むセルのCSV出力,異常系,A1==1/0,CSV出力,#DIV/0!,#DIV/0!,PASS
TC-H-050,表示形式,長い文字列(1万文字)の入力と保持,負荷,'-,1万文字を入力しLENを確認,10000,10000,PASS
TC-U-001,UI操作,セル入力後Enterで1つ下のセルへ移動する,状態遷移,A1を選択,A1に100を入力しEnter,A2,A2,PASS
TC-U-002,UI操作,入力した値がセルに表示される,正常系,TC-U-001の続き,A1の表示を確認,100,100,PASS
TC-U-003,UI操作,数式バーに選択セルの内容が表示される,状態遷移,A1=100,A1を選択し数式バーを確認,100,100,PASS
TC-U-004,UI操作,数式セルは計算結果を表示し数式バーには数式が出る,状態遷移,A1=100,A2に=A1*2を入力しA2を選択,200|=A1*2,200|=A1*2,PASS
TC-U-005,UI操作,Ctrl+Zで直前の入力が取り消される,状態遷移,A2==A1*2,Ctrl+Zを押す,,,PASS
TC-U-006,UI操作,Ctrl+Yでやり直しできる,状態遷移,TC-U-005の直後,Ctrl+Yを押す,200,200,PASS
TC-U-007,UI操作,Ctrl+Bで太字が適用される,状態遷移,A1を選択,Ctrl+Bを押す,TRUE,TRUE,PASS
TC-U-008,UI操作,Ctrl+Bをもう一度押すと太字が解除される,状態遷移,A1が太字,Ctrl+Bを押す,FALSE,FALSE,PASS
TC-U-009,UI操作,Deleteキーで選択範囲の内容が消える,正常系,A1=100,A1でDeleteを押す,,,PASS
TC-U-010,UI操作,Ctrl+↓でデータの終端へ移動する,状態遷移,A1:A5に値,A1でCtrl+↓,A5,A5,PASS
TC-U-011,UI操作,セルの結合ができる,正常系,A1:B1を選択,結合ボタンを押す,"1件(0,0)-(0,1)","1件(0,0)-(0,1)",PASS
TC-U-012,UI操作,結合を解除できる,状態遷移,A1:B1が結合,もう一度結合ボタンを押す,0件,0件,PASS
TC-U-013,UI操作,すべて置換が実行できる,正常系,A1:A3=りんご/みかん/りんご,「りんご」を「ぶどう」に全置換,ぶどう/みかん/ぶどう,ぶどう/みかん/ぶどう,PASS
TC-U-014,UI操作,昇順の並べ替えで行のまとまりが保たれる,正常系,"A列=3,1,2 / B列=c,a,b",A1:B3を選択し昇順ボタン,1a/2b/3c,1a/2b/3c,PASS
TC-U-015,データツール,重複の削除で異なる行が誤って消えないこと,境界値,"A1=""ab"",B1=""c"" / A2=""a"",B2=""bc""",A1:B2を選択し重複の削除,2行とも残る,2行とも残る,PASS
TC-U-016,データツール,重複の削除で完全一致行が削除される,正常系,A1:B3に同一行を含む,A1:B3を選択し重複の削除,残2行,残2行,PASS
TC-U-017,データツール,行列の入れ替え,正常系,A1:B2に2x2,A1:B2を選択し行列入れ替え,"1,3/2,4","1,3/2,4",PASS
TC-U-018,クリップボード,コピー&貼り付けで数式の参照が相対的にずれる,正常系,"A1=1,A2=2,B1==A1*10",B1をコピーしB2へ貼り付け,#NAME?,#NAME?,PASS
TC-U-019,UI操作,オートSUMが直上の数値範囲を合計する,正常系,"A1:A3=1,2,3",A4でオートSUM,#NAME?,#NAME?,PASS
TC-U-020,UI操作,パーセントスタイルボタンで表示形式が変わる,正常系,A1=0.25,A1でパーセントボタン,25.00%,25.00%,PASS
TC-U-021,UI操作,桁区切りスタイルボタン,正常系,A1=1234567,A1で桁区切りボタン,"1,234,567","1,234,567",PASS
TC-U-022,UI操作,小数桁を増やすボタンで桁数が増える,正常系,A1=1.5,「.0→.00」を2回押す,1.5,1.5,PASS
TC-U-023,UI操作,Alt+Enterでセル内改行が入る,境界値,A1を編集中,編集中にAlt+Enter,2行,2行,PASS
TC-U-024,UI操作,ズーム変更で表示倍率が変わる,正常系,既定100%,ズームを150%に変更,150.00%,150.00%,PASS
TC-U-025,UI操作,数式の表示トグルが機能する,状態遷移,A1==1+1,数式の表示ボタン,TRUE,TRUE,PASS
TC-U-026,UI操作,行の挿入ボタンで行が増える,正常系,"A1=1,A2=2",A2で行を挿入,A3=2,A3=2,PASS
TC-U-027,UI操作,列の削除ボタンで列が消える,正常系,"A1=1,B1=2",A列を選択し列を削除,B1が1に繰り上がる,B1が1に繰り上がる,PASS
TC-U-028,UI操作,名前ボックスで指定セルへジャンプする,正常系,'-,名前ボックスにC5と入力しEnter,C5,C5,PASS
TC-U-029,UI操作,1万セル入力後の再描画が2秒以内,負荷,'-,100x100に値を入れて再描画,2000ms以内,2000ms以内(31ms),PASS
TC-U-030,UI操作,グラフを挿入しても描画例外が出ない,正常系,A1:A3にデータ,グラフを挿入して再描画,例外なし,例外なし,PASS
TC-U-031,クリップボード,切り取り&貼り付けで元セルが空になる,状態遷移,A1=abc,A1を切り取りC1へ貼り付け,C1=abc / A1=空,C1=abc / A1=空,PASS
TC-U-032,クリップボード,外部からのTSV貼り付けが表として展開される,正常系,'-,Excel形式のTSVテキストを貼り付け,A1=1 B1=2 A2=3 B2=4,A1=1 B1=2 A2=3 B2=4,PASS
TC-U-033,クリップボード,貼り付けで書式もコピーされる,正常系,A1が太字,A1をコピーしB1へ貼り付け,TRUE,TRUE,PASS
TC-U-034,ファイル入出力,xlsx書き出し→読み込みで値と数式が保たれる,正常系,"A1=1,A2=2,A3==SUM(A1:A2),B1=文字列",exportXlsx→importXlsx,1|2|=SUM(A1:A2)|3|テスト,1|2|=SUM(A1:A2)|3|テスト,PASS
TC-U-035,ファイル入出力,xlsx往復で書式(太字・桁区切り)が保たれる,正常系,A1=1000に太字と桁区切り,exportXlsx→importXlsx,太字=true 書式あり,太字=true 書式あり,PASS
TC-U-036,ファイル入出力,xlsx往復で複数シートとシート名が保たれる,正常系,シート3枚,exportXlsx→importXlsx,3枚,"3枚(Sheet1,Sheet2,Sheet3)",PASS
TC-U-037,ファイル入出力,xlsx往復で結合セルが保たれる,正常系,A1:B1を結合,exportXlsx→importXlsx,1件,1件,PASS
TC-U-038,ファイル入出力,xlsx往復で日付が日付のまま保たれる,境界値,A1=2026/8/23,exportXlsx→importXlsx,2026/08/23,2026/08/23,PASS
TC-U-039,ファイル入出力,壊れたファイルを読み込んでもアプリが落ちない,異常系,xlsxでないバイト列,importXlsxに不正データ,エラーで復帰,エラーで復帰,PASS
TC-U-040,関数(日付),月末日にEDATEを使うと翌月末になる,境界値,A1=2026/1/31,"B1に =EDATE(A1,1)",2026/02/28,2026/02/28,PASS
TC-U-041,関数(数値),計算不能な結果はエラー値になる,異常系,'-,"A1に =POWER(-8,1/3)",#NUM!,#NUM!,PASS
TC-U-042,関数(数値),計算不能な結果が集計に黙って混入せずエラーとして伝播する,異常系,"A1==POWER(-8,1/3), A2=10",A3に =SUM(A1:A2),#NUM!,#NUM!,PASS
TC-U-043,関数(日付),DATEDIFで開始日>終了日はエラーになる,異常系,'-,1621,#NUM!,#NUM!,PASS
TC-U-044,関数(条件集計),SUMIFSで範囲サイズが違う場合はエラーになる,異常系,"A1:A4に条件, C1:C2に合計範囲",#VALUE!,#VALUE!,#VALUE!,PASS
TC-U-045,UI操作,小数桁を増やすボタンを1回押すと表示が変わる,境界値,A1=1.5(標準書式),「.0→.00」を1回押す,1.5,1.5,PASS
TC-U-046,UI操作,小数桁を減らすボタンで桁数が減る,正常系,A1=1.50(0.00書式),「.00→.0」を押す,1.5,1.5,PASS
TC-U-047,ファイル入出力,編集内容が自動保存領域に退避される,状態遷移,A1に値を入力,localStorageの自動保存を確認,保存あり,保存あり,PASS
TC-U-048,UI操作,行削除をUndoすると値と数式が戻る,状態遷移,"A1=1,A2=2,B1==SUM(A1:A2)",2行目を削除しCtrl+Z,3,3,PASS
TC-U-049,UI操作,ウィンドウ枠の固定が設定できる,正常系,B2を選択,ウィンドウ枠の固定を実行,r1c1,r1c1,PASS
TC-U-050,ファイル入出力,HTML出力に計算結果が含まれる,正常系,"A1=1,A2=2,A3==SUM(A1:A2)",HTML出力を生成,3を含む,3を含む,PASS
